Scientific Name,Common Name,EPBC Threat Status,EPBC Threatened Species Listed Name,EPBC Threatened Species Date Effective,Kingdom,Phylum,Class,Order,Family,Genus
Acanthophis hawkei,Plains Death Adder,Vulnerable,Acanthophis hawkei,11-May-12,Animalia,Chordata,Reptilia,Squamata,Elapidae,Acanthophis
Acanthornis magna greeniana,"King Island Scrubtit, Scrubtit (King Island)",Critically Endangered,Acanthornis magna greeniana,2-Jul-02,Animalia,Chordata,Aves,Passeriformes,Pardalotidae,Acanthornis
Accipiter hiogaster natalis,Christmas Island Goshawk,Endangered,Accipiter hiogaster natalis,16-Jul-00,Animalia,Chordata,Aves,Falconiformes,Accipitridae,Accipiter
Achyranthes arborescens,"Chaff Tree, Soft-wood",Critically Endangered,Achyranthes arborescens,25-Nov-03,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Achyranthes
Achyranthes margaretarum,Phillip Island Chaffy Tree,Critically Endangered,Achyranthes margaretarum,25-Nov-03,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Achyranthes
Acianthus ledwardii, ,Extinct,Acianthus ledwardii,16-Jul-00,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Acianthus
Acriopsis emarginata,Pale Chandelier Orchid,Vulnerable,Acriopsis emarginata,16-Jul-00,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,Acriopsis
Acronychia littoralis,Scented Acronychia,Endangered,Acronychia littoralis,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae,Acronychia
Acrophyllum australe, ,Vulnerable,Acrophyllum australe,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Cunoniaceae,Acrophyllum
Actephila foetida, ,Vulnerable,Actephila foetida,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Euphorbiales,Euphorbiaceae,Actephila
Actinotus schwarzii,Desert Flannel-flower,Vulnerable,Actinotus schwarzii,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Actinotus
Adclarkia cameroni,Brigalow Woodland Snail,Endangered,Adclarkia cameroni,7-Dec-16,Animalia,Mollusca,Gastropoda,Pulmonata,Camaenidae,Adclarkia
Adclarkia dawsonensis,"Boggomoss Snail, Dawson River Snail, Dawson Valley Snail",Critically Endangered,Adclarkia dawsonensis,2-Jun-03,Animalia,Mollusca,Gastropoda,Pulmonata,Camaenidae,Adclarkia
Adclarkia dulacca,Dulacca Woodland Snail,Endangered,Adclarkia dulacca,7-Dec-16,Animalia,Mollusca,Gastropoda,Pulmonata,Camaenidae,Adclarkia
Adenanthos dobagii,Fitzgerald Woollybush,Endangered,Adenanthos dobagii,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,Adenanthos
Adenanthos ellipticus,Oval-leaf Adenanthos,Vulnerable,Adenanthos ellipticus,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,Adenanthos
Adenanthos eyrei,Toolinna Adenanthos,Endangered,Adenanthos eyrei,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,Adenanthos
Adenanthos pungens subsp. effusus,Sprawling Spiky Adenanthos,Endangered,Adenanthos pungens subsp. effusus,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,Adenanthos
Adenanthos pungens subsp. pungens,Spiky Adenanthos,Vulnerable,Adenanthos pungens subsp. pungens,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,Adenanthos
Adenanthos velutinus,Velvet Woollybush,Endangered,Adenanthos velutinus,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,Adenanthos
Advena campbellii,Campbell's Helicarionid Land Snail,Critically Endangered,Advena campbellii,8-Jan-09,Animalia,Mollusca,Gastropoda,Pulmonata,Helicarionidae,Advena
Aipysurus apraefrontalis,Short-nosed Seasnake,Critically Endangered,Aipysurus apraefrontalis,15-Feb-11,Animalia,Chordata,Reptilia,Squamata,Hydrophiidae,Aipysurus
Aipysurus foliosquama,Leaf-scaled Seasnake,Critically Endangered,Aipysurus foliosquama,15-Feb-11,Animalia,Chordata,Reptilia,Squamata,Hydrophiidae,Aipysurus
Alectryon ramiflorus,Isis Tamarind,Endangered,Alectryon ramiflorus,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,Alectryon
Allocasuarina defungens,Dwarf Heath Casuarina,Endangered,Allocasuarina defungens,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae,Allocasuarina
Allocasuarina emuina,"Emu Mountain Sheoak, Mt Emu She-oak",Endangered,Allocasuarina emuina,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae,Allocasuarina
Allocasuarina fibrosa,Woolly Sheoak,Vulnerable,Allocasuarina fibrosa,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae,Allocasuarina
Allocasuarina glareicola, ,Endangered,Allocasuarina glareicola,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae,Allocasuarina
Allocasuarina portuensis,Nielsen Park She-oak,Endangered,Allocasuarina portuensis,16-Jul-00,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae,Allocasuarina
Allocasuarina robusta,Mount Compass Oak-bush,Endangered,Allocasuarina robusta,27-Nov-06,Plantae,Magnoliophyta,Magnoliopsida,Casuarinales,Casuarinaceae,Allocasuarina
