Species,Common Name,Category,Type of Presence,Comments,Location(s),Kingdom,Phylum,Class,Order,Family,EPBC Act Threatened Species in Australia (Generated 2020-09-29 22:36:16)
Diuris ochroma,Pale Golden Moths,Vulnerable,Present,,"NSW, VIC",Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Diuris pedunculata,"Small Snake Orchid, Two-leaved Golden Moths, Golden Moths, Cowslip Orchid, Snake Orchid",Endangered,Present,,"ACT, NSW, QLD",Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Diuris praecox,Newcastle Doubletail,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Diuris purdiei,Purdie's Donkey-orchid,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Diuris venosa,"Veined Doubletail, Goat Orchid, Veined Donkey-orchid",Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Dodonaea procumbens,Trailing Hop-bush,Vulnerable,Present,,"ACT, NSW, SA, VIC",Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,
Dodonaea rupicola,Velvet Hopbush,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,
Dodonaea subglandulifera,Peep Hill Hop-bush,Endangered,Endemic,,SA,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Sapindaceae,
Drakaea concolor,Kneeling Hammer-orchid,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Drakaea confluens,Late Hammer-orchid,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Drakaea elastica,"Glossy-leafed Hammer Orchid, Glossy-leaved Hammer Orchid,  Warty Hammer Orchid",Endangered,Endemic,,WA,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Drakaea isolata,Lonely Hammer-orchid,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Drakaea micrantha,Dwarf Hammer-orchid,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Liliopsida,Orchidales,Orchidaceae,
Dromaius ater,King Island Emu,Extinct,Extinct,,TAS,Animalia,Chordata,Aves,Struthioniformes,Dromaiidae,
Dromaius baudinianus,Kangaroo Island Emu,Extinct,Extinct,Kangaroo Island,SA,Animalia,Chordata,Aves,Struthioniformes,Dromaiidae,
Dromaius novaehollandiae diemenensis,"Tasmanian Emu, Emu (Tasmanian)",Extinct,Extinct,,TAS,Animalia,Chordata,Aves,Struthioniformes,Dromaiidae,
Drosera prolifera,,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Nepenthales,Droseraceae,
Drosera schizandra,,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Nepenthales,Droseraceae,
Drummondita ericoides,Morseby Range Drummondita,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae,
Drummondita longifolia,Peak Charles Drummondita,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Rutaceae,
Dryococelus australis,"Lord Howe Island Phasmid, Land Lobster",Critically Endangered,Endemic,Lord Howe Island,NSW,Animalia,Arthropoda,Insecta,Phasmatodea,Phasmatidae,
Duma horrida subsp. abdita,Remote Thorny Lignum,Critically Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Polygonales,Polygonaceae,
Dysoxylum bijugum,"Sharkwood, a tree",Vulnerable,Endemic,Norfolk Island,"AET, NI",Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Meliaceae,
Egernia rugosa,Yakka Skink,Vulnerable,Endemic,,QLD,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Egernia rugosa,Yakka Skink,Vulnerable,Present,,NSW,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Egernia stokesii badia,"Western Spiny-tailed Skink, Baudin Island Spiny-tailed Skink",Endangered,Endemic,,WA,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Eidothea hardeniana,Nightcap Oak,Critically Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Proteales,Proteaceae,
Elaeocarpus sedentarius,Minyon Quandong,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Elaeocarpaceae,
Elaeocarpus williamsianus,Hairy Quandong,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Elaeocarpaceae,
Elatostema montanum,Mountain Procris,Critically Endangered,Endemic,Norfolk Island,"AET, NI",Plantae,Magnoliophyta,Magnoliopsida,Urticales,Urticaceae,
Eleocharis keigheryi,Keighery's Eleocharis,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,
Eleocharis obicis,a spike rush,Vulnerable,Present,,"NSW, VIC",Plantae,Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,
Eleocharis papillosa,Dwarf Desert Spike-rush,Vulnerable,Present,,"NT, SA, WA",Plantae,Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,
Eleocharis retroflexa,a sedge,Vulnerable,Present,,"NT, QLD",Plantae,Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,
Elseya albagula,"Southern Snapping Turtle, White-throated Snapping Turtle",Critically Endangered,Present,,QLD,Animalia,Chordata,Reptilia,Testudines,Chelidae,
Elseya lavarackorum,Gulf Snapping Turtle,Endangered,Present,,"NT, QLD",Animalia,Chordata,Reptilia,Testudines,Chelidae,
Elusor macrurus,"Mary River Turtle, Mary River Tortoise",Endangered,Endemic,,QLD,Animalia,Chordata,Reptilia,Testudines,Chelidae,
Emoia nativitatis,"Christmas Island Forest Skink, Christmas Island Whiptail-skink",Critically Endangered,Present,,"AET, CI",Animalia,Chordata,Reptilia,Squamata,Scincidae,
Endiandra cooperana,,Endangered,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Laurales,Lauraceae,
Endiandra floydii,Floyd's Walnut,Endangered,Present,,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Laurales,Lauraceae,
Endiandra hayesii,"Rusty Rose Walnut, Velvet Laurel",Vulnerable,Present,,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Laurales,Lauraceae,
Engaeus granulatus,Central North Burrowing Crayfish,Endangered,Endemic,,TAS,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Engaeus martigener,Furneaux Burrowing Crayfish,Endangered,Endemic,,TAS,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Engaeus orramakunna,Mount Arthur Burrowing Crayfish,Vulnerable,Endemic,,TAS,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Engaeus spinicaudatus,Scottsdale Burrowing Crayfish,Endangered,Endemic,,TAS,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Engaeus yabbimunna,Burnie Burrowing Crayfish,Vulnerable,Endemic,,TAS,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Engaewa pseudoreducta,Margaret River Burrowing Crayfish,Critically Endangered,Endemic,,WA,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Engaewa reducta,Dunsborough Burrowing Crayfish,Critically Endangered,Endemic,,WA,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Engaewa walpolea,Walpole Burrowing Crayfish,Endangered,Endemic,,WA,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,
Epacris apsleyensis,Apsley Heath,Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae,
Epacris barbata,"Bearded Heath, Freycinet Heath",Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae,
Epacris exserta,South Esk Heath,Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae,
Epacris glabella,"Funnel Heath, Smooth Heath",Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae,
Epacris grandis,"Grand Heath, Tall Heath",Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae,
Epacris graniticola,"Mt Cameron Heath, Granite Heath",Critically Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae,
Epacris hamiltonii,,Endangered,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae,
Epacris limbata,"Border Heath, Bordered Heath",Critically Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae,
Epacris sparsa,,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae,
Epacris stuartii,"Stuart's Heath, Southport Heath",Critically Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae,
Epacris virgata,"Pretty Heath, Dan Hill Heath",Endangered,Endemic,,TAS,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Epacridaceae,
Epilobium brunnescens subsp. beaugleholei,Bog Willow-herb,Vulnerable,Endemic,,VIC,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Onagraceae,
Epinephelus daemelii,"Black Rockcod, Black Cod, Saddled Rockcod",Vulnerable,Present,,"CSI, NI, NSW, OCE, QLD, TER, VIC",Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,
Epthianura crocea macgregori,"Capricorn Yellow Chat, Yellow Chat (Dawson)",Critically Endangered,Endemic,,QLD,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,
Epthianura crocea tunneyi,"Alligator Rivers Yellow Chat, Yellow Chat (Alligator Rivers)",Endangered,Endemic,,NT,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,
Eremochloa muricata,,Endangered,Endemic,,QLD,Plantae,Magnoliophyta,Liliopsida,Cyperales,Poaceae,
Eremophila ciliata,,Endangered,Present,,WA,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Scrophulariaceae,
Eremophila denticulata subsp. denticulata,Fitzgerald Eremophila,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Myoporaceae,
Eremophila denticulata subsp. trisulcata,Cumquat Eremophila,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Myoporaceae,
Eremophila glabra subsp. Scaddan (C. Turley s.n. 10/11/2005),,Critically Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Scrophulariaceae,
Eremophila glabra subsp. chlorella,,Endangered,Present,,WA,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Scrophulariaceae,
Eremophila koobabbiensis,"Koobabbie Eremophila, Koobabbie Poverty Bush",Critically Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Scrophulariaceae,
Eremophila lactea,Milky Emu Bush,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Myoporaceae,
Eremophila nivea,Silky Eremophila,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Myoporaceae,
Eremophila pinnatifida,Pinnate-leaf Eremophila,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Myoporaceae,
Eremophila prostrata,Rainbow Valley Fuchsia Bush,Vulnerable,Endemic,,NT,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Scrophulariaceae,
Eremophila resinosa,Resinous Eremophila,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Myoporaceae,
Eremophila rostrata,Beaked Eremophila,Critically Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Myoporaceae,
Eremophila scaberula,Rough Emu Bush,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Myoporaceae,
Eremophila sp. Narrow leaves (J.D.Start D12-150),,Critically Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Scrophulariaceae,
Eremophila subteretifolia,Lake King Eremophila,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Myoporaceae,
Eremophila ternifolia,Wongan Eremophila,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Myoporaceae,
Eremophila vernicosa,Resinous Poverty Bush,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Myoporaceae,
Eremophila verticillata,Whorled Eremophila,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Myoporaceae,
Eremophila virens,"Campion Eremophila, Green-flowered Emu bush",Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Myoporaceae,
Eremophila viscida,Varnish Bush,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Scrophulariales,Myoporaceae,
Eretmochelys imbricata,Hawksbill Turtle,Vulnerable,Possible,,VIC,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,
Eretmochelys imbricata,Hawksbill Turtle,Vulnerable,Present,,"ACR, AET, CI, CKI, CSI, NI, NSW, NT, OCE, QLD, TAS, TER, WA",Animalia,Chordata,Reptilia,Testudines,Cheloniidae,
Eriocaulon australasicum,"Austral Pipewort, Southern Pipewort",Endangered,Present,,"NSW, SA, VIC",Plantae,Magnoliophyta,Liliopsida,Eriocaulales,Eriocaulaceae,
Eriocaulon carsonii,"Salt Pipewort, Button Grass",Endangered,Present,,"NSW, QLD, SA",Plantae,Magnoliophyta,Liliopsida,Eriocaulales,Eriocaulaceae,
Eryngium fontanum,Blue Devil,Endangered,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,
Erythrotriorchis radiatus,Red Goshawk,Vulnerable,Present,,"NSW, NT, QLD, WA",Animalia,Chordata,Aves,Falconiformes,Accipitridae,
