,Species,Common_Name,Category,Presence_Type,Location,Kingdom,Phylum,Class,Order,Family
141,Androcalva procumbens,,Vulnerable,Present,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae
142,Androcalva rosea,Sandy Hollow Commersonia,Endangered,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae
143,Angophora inopina,Charmhaven Apple,Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae
144,Angophora robur,Sandstone Rough-barked Apple,Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Myrtales,Myrtaceae
145,Anigozanthos bicolor subsp. minor,"Little Kangaroo Paw, Two-coloured Kangaroo Paw, Small Two-colour Kangaroo Paw",Endangered,Endemic,WA,Plantae,Magnoliophyta,Liliopsida,Liliales,Haemodoraceae
146,Anigozanthos viridis subsp. terraspectans,Dwarf Green Kangaroo Paw,Vulnerable,Endemic,WA,Plantae,Magnoliophyta,Liliopsida,Liliales,Haemodoraceae
147,Anomalopus mackayi,"Five-clawed Worm-skink, Long-legged Worm-skink",Vulnerable,Present,"NSW, QLD",Animalia,Chordata,Reptilia,Squamata,Scincidae
148,Anous tenuirostris melanops,Australian Lesser Noddy,Vulnerable,Present,"ACR, OCE, WA",Animalia,Chordata,Aves,Charadriiformes,Laridae
149,Antechinus argentus,Silver-headed Antechinus,Endangered,Present,QLD,Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae
150,Antechinus arktos,Black-tailed Antechinus,Endangered,Present,"NSW, QLD",Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae
151,Antechinus bellus,Fawn Antechinus,Vulnerable,Present,NT,Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae
152,Antechinus minimus maritimus,Swamp Antechinus (mainland),Vulnerable,Present,"SA, VIC",Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae
153,Anthocercis gracilis,Slender Tailflower,Vulnerable,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Solanales,Solanaceae
154,Anthochaera phrygia,Regent Honeyeater,Critically Endangered,Present,"ACT, NSW, QLD, SA, TER, VIC",Animalia,Chordata,Aves,Passeriformes,Meliphagidae
155,Antipodia chaostola leucophaea,"Tasmanian Chaostola Skipper, Heath-sand Skipper",Endangered,Endemic,TAS,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae
156,Apatophyllum olsenii,,Vulnerable,Endemic,QLD,Plantae,Magnoliophyta,Magnoliopsida,Celastrales,Celastraceae
157,Apium prostratum subsp. Porongurup Range (G.J.Keighery 8631),"Fine-leaved Apium, Porongurup Celery",Vulnerable,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae
158,Aplonis fusca,Tasman Starling,Extinct,Extinct,"AET, NSW",Animalia,Chordata,Aves,Passeriformes,Sturnidae
159,Aponogeton bullosus,,Endangered,Endemic,QLD,Plantae,Magnoliophyta,Liliopsida,Najadales,Aponogetonaceae
160,Aponogeton prolifer,an aquatic herb,Endangered,Endemic,QLD,Plantae,Magnoliophyta,Liliopsida,Najadales,Aponogetonaceae
161,Aprasia parapulchella,"Pink-tailed Worm-lizard, Pink-tailed Legless Lizard",Vulnerable,Present,"ACT, NSW, VIC",Animalia,Chordata,Reptilia,Squamata,Pygopodidae
